2014-03-25,全銘柄日足,http://k-db.com/site/default.aspx
コード,銘柄名,市場,業種,始値,高値,安値,終値,出来高,売買代金
10,TOPIX,東証,指数,1158.99,1170.90,1153.66,1163.70,-,-
11,TOPIXコア30,東証,指数,603.68,611.34,598.28,608.45,-,-
12,TOPIXラージ70,東証,指数,1078.17,1088.75,1073.11,1082.88,-,-
13,TOPIX100,東証,指数,764.81,773.39,759.19,769.54,-,-
14,TOPIXミッド400,東証,指数,1255.70,1268.27,1253.58,1256.60,-,-
15,TOPIX500,東証,指数,901.85,911.60,897.21,906.08,-,-
16,TOPIXスモール,東証,指数,1378.36,1388.91,1374.86,1375.43,-,-
17,TOPIX1000,東証,指数,1095.72,1107.09,1090.49,1100.26,-,-
18,東証２部指数,東証,指数,3531.11,3536.34,3524.62,3530.34,-,-
19,東証マザーズ指数,東証,指数,766.75,766.75,726.07,727.69,-,-
20,東証REIT指数,東証,指数,1444.31,1469.55,1442.84,1457.78,-,-
21,東証規模別_大型,東証,指数,1102.55,1114.92,1094.45,1109.37,-,-
22,東証規模別_中型,東証,指数,1321.32,1334.54,1319.08,1322.26,-,-
23,東証規模別_小型,東証,指数,2034.87,2050.45,2029.71,2030.55,-,-
24,東証業種別_水産・農林業,東証,指数,269.17,271.87,268.55,269.22,-,-
25,東証業種別_鉱業,東証,指数,368.21,374.67,367.98,369.67,-,-
26,東証業種別_建設業,東証,指数,719.72,721.65,713.98,717.21,-,-
27,東証業種別_食料品,東証,指数,1183.13,1199.32,1180.62,1190.32,-,-
28,東証業種別_繊維製品,東証,指数,498.53,507.97,498.53,504.72,-,-
29,東証業種別_パルプ・紙,東証,指数,417.67,422.44,412.42,417.29,-,-
30,東証業種別_化学,東証,指数,1011.73,1022.28,1011.73,1016.46,-,-
31,東証業種別_医薬品,東証,指数,1840.58,1849.88,1832.21,1840.40,-,-
32,東証業種別_石油石炭製品,東証,指数,913.92,934.46,907.78,928.12,-,-
33,東証業種別_ゴム製品,東証,指数,2541.21,2574.80,2511.65,2574.80,-,-
34,東証業種別_ガラス土石製品,東証,指数,854.97,864.33,854.97,855.45,-,-
35,東証業種別_鉄鋼,東証,指数,533.97,539.10,525.69,536.00,-,-
36,東証業種別_非鉄金属,東証,指数,793.48,809.20,789.93,803.65,-,-
37,東証業種別_金属製品,東証,指数,1033.99,1052.51,1033.99,1045.93,-,-
38,東証業種別_機械,東証,指数,1260.69,1282.48,1255.99,1269.70,-,-
39,東証業種別_電気機器,東証,指数,1525.12,1541.99,1515.87,1532.33,-,-
40,東証業種別_輸送用機器,東証,指数,2441.91,2484.40,2426.12,2468.70,-,-
41,東証業種別_精密機器,東証,指数,3307.27,3335.55,3283.61,3295.95,-,-
42,東証業種別_その他製品,東証,指数,1282.33,1290.29,1273.73,1275.50,-,-
43,東証業種別_電気・ガス業,東証,指数,388.70,394.29,386.92,389.60,-,-
44,東証業種別_陸運業,東証,指数,1441.21,1462.88,1441.21,1447.70,-,-
45,東証業種別_海運業,東証,指数,386.47,392.89,385.16,389.04,-,-
46,東証業種別_空運業,東証,指数,192.55,193.32,190.03,191.46,-,-
47,東証業種別_倉庫運輸関連,東証,指数,1415.72,1450.39,1415.72,1422.75,-,-
48,東証業種別_情報・通信業,東証,指数,2385.25,2385.25,2348.15,2358.88,-,-
49,東証業種別_卸売業,東証,指数,1012.31,1023.60,1009.74,1018.91,-,-
50,東証業種別_小売業,東証,指数,771.99,776.37,768.14,769.04,-,-
51,東証業種別_銀行業,東証,指数,162.22,165.60,161.16,164.36,-,-
52,東証業種別_証券商品先物,東証,指数,427.88,428.99,421.02,426.31,-,-
53,東証業種別_保険業,東証,指数,621.16,629.90,613.94,628.22,-,-
54,東証業種別_その他金融業,東証,指数,489.05,490.88,479.99,484.70,-,-
55,東証業種別_不動産業,東証,指数,1460.34,1471.28,1439.21,1463.84,-,-
56,東証業種別_サービス業,東証,指数,1174.58,1181.65,1166.25,1166.84,-,-
60,TOPIX-バリュー,東証,指数,1354.22,1370.59,1347.26,1363.35,-,-
61,TOPIX-グロース,東証,指数,1438.00,1449.41,1431.61,1439.40,-,-
62,TOPIX500-バリュー,東証,指数,1321.05,1337.61,1313.43,1330.75,-,-
63,TOPIX500-グロース,東証,指数,1431.61,1443.74,1424.48,1433.83,-,-
64,TOPIXスモール-バリュー,東証,指数,1745.12,1760.22,1745.12,1746.33,-,-
65,TOPIXスモール-グロース,東証,指数,1510.98,1521.36,1502.64,1503.40,-,-
67,日経平均,東証,指数,14401.69,14531.79,14312.08,14423.19,-,-
68,日経500,東証,指数,1228.05,1235.93,1223.79,1225.31,-,-
69,日経300,東証,指数,235.13,237.57,233.75,236.20,-,-
70,東証17業種別_食品,東証,指数,202.49,205.22,202.07,203.69,-,-
71,東証17業種別_エネ,東証,指数,120.35,122.65,119.89,121.59,-,-
72,東証17業種別_建設,東証,指数,166.92,168.05,166.58,166.90,-,-
73,東証17業種別_素材,東証,指数,138.16,139.72,138.16,138.89,-,-
74,東証17業種別_医薬,東証,指数,142.29,143.01,141.64,142.27,-,-
75,東証17業種別_自動,東証,指数,181.76,184.83,180.57,183.79,-,-
76,東証17業種別_鉄鋼,東証,指数,193.44,196.00,191.30,194.84,-,-
77,東証17業種別_機械,東証,指数,248.45,252.74,247.52,250.22,-,-
78,東証17業種別_電機,東証,指数,119.34,120.62,118.61,119.81,-,-
79,東証17業種別_情報,東証,指数,135.32,135.32,133.92,134.05,-,-
80,東証17業種別_電力,東証,指数,64.37,65.30,64.07,64.52,-,-
81,東証17業種別_運輸,東証,指数,122.39,124.04,122.39,122.83,-,-
82,東証17業種別_商社,東証,指数,245.97,248.71,245.34,247.57,-,-
83,東証17業種別_小売,東証,指数,134.11,134.87,133.44,133.60,-,-
84,東証17業種別_銀行,東証,指数,104.32,106.50,103.65,105.70,-,-
