2014-02-20,全銘柄日足,http://k-db.com/site/default.aspx
コード,銘柄名,市場,業種,始値,高値,安値,終値,出来高,売買代金
10,TOPIX,東証,指数,1212.52,1215.87,1192.21,1194.56,-,-
11,TOPIXコア30,東証,指数,640.08,642.01,629.68,631.38,-,-
12,TOPIXラージ70,東証,指数,1128.90,1132.39,1108.98,1110.83,-,-
13,TOPIX100,東証,指数,806.50,808.85,793.15,794.75,-,-
14,TOPIXミッド400,東証,指数,1304.13,1307.66,1281.63,1284.41,-,-
15,TOPIX500,東証,指数,946.74,949.38,930.74,932.66,-,-
16,TOPIXスモール,東証,指数,1391.79,1395.47,1370.30,1372.33,-,-
17,TOPIX1000,東証,指数,1147.68,1150.91,1128.34,1130.59,-,-
18,東証２部指数,東証,指数,3585.53,3587.81,3556.52,3557.60,-,-
19,東証マザーズ指数,東証,指数,833.92,842.29,812.38,820.08,-,-
20,東証REIT指数,東証,指数,1477.87,1489.94,1475.52,1489.94,-,-
21,東証規模別_大型,東証,指数,1162.66,1166.04,1143.40,1145.72,-,-
22,東証規模別_中型,東証,指数,1372.28,1376.00,1348.60,1351.53,-,-
23,東証規模別_小型,東証,指数,2054.71,2060.14,2022.98,2025.98,-,-
24,東証業種別_水産・農林業,東証,指数,267.40,269.09,264.91,266.21,-,-
25,東証業種別_鉱業,東証,指数,382.70,385.21,375.46,377.50,-,-
26,東証業種別_建設業,東証,指数,760.93,762.68,745.06,747.02,-,-
27,東証業種別_食料品,東証,指数,1208.06,1212.21,1194.76,1197.86,-,-
28,東証業種別_繊維製品,東証,指数,512.02,512.91,505.24,506.65,-,-
29,東証業種別_パルプ・紙,東証,指数,428.41,436.41,427.60,427.84,-,-
30,東証業種別_化学,東証,指数,1036.69,1038.83,1021.28,1022.44,-,-
31,東証業種別_医薬品,東証,指数,1875.88,1875.88,1848.78,1856.60,-,-
32,東証業種別_石油石炭製品,東証,指数,978.32,987.27,959.22,960.57,-,-
33,東証業種別_ゴム製品,東証,指数,2642.32,2642.32,2598.24,2617.73,-,-
34,東証業種別_ガラス土石製品,東証,指数,867.14,868.85,850.95,852.18,-,-
35,東証業種別_鉄鋼,東証,指数,584.96,589.08,574.27,578.55,-,-
36,東証業種別_非鉄金属,東証,指数,880.81,882.37,862.58,865.49,-,-
37,東証業種別_金属製品,東証,指数,1110.56,1116.56,1095.67,1098.85,-,-
38,東証業種別_機械,東証,指数,1351.96,1358.16,1321.81,1324.15,-,-
39,東証業種別_電気機器,東証,指数,1557.66,1560.63,1527.92,1531.07,-,-
40,東証業種別_輸送用機器,東証,指数,2612.83,2623.88,2570.44,2578.65,-,-
41,東証業種別_精密機器,東証,指数,3322.37,3322.37,3242.25,3246.89,-,-
42,東証業種別_その他製品,東証,指数,1305.52,1311.41,1283.47,1285.48,-,-
43,東証業種別_電気・ガス業,東証,指数,399.02,400.30,395.16,397.32,-,-
44,東証業種別_陸運業,東証,指数,1440.00,1445.39,1429.99,1431.55,-,-
